canonical_key,duplicate_key,title,year,resolution,confidence
ashby1956,ashby1956an,An Introduction to Cybernetics,1956,merged by normalized title and year; richest record retained,high
baier2008,baier2008principles,Principles of Model Checking,2008,merged by normalized title and year; richest record retained,high
baier2008,baier2008principles2,Principles of Model Checking,2008,merged by normalized title and year; richest record retained,high
bertalanffy1968general,vonbertalanffy1968,"General system theory: Foundations, development, applications",1968,merged by normalized title and year; richest record retained,high
card1983,card1983the,The Psychology of Human-Computer Interaction,1983,merged by normalized title and year; richest record retained,high
card1983,card1983the2,The Psychology of Human-Computer Interaction,1983,merged by normalized title and year; richest record retained,high
card1983,card1983the3,The Psychology of Human-Computer Interaction,1983,merged by normalized title and year; richest record retained,high
dourish2001,dourish2001where,Where the Action Is: The Foundations of Embodied Interaction,2001,merged by normalized title and year; richest record retained,high
engestrm1987,engestrom1987learning2,Learning by expanding: An activity-theoretical approach to developmental research,1987,merged by normalized title and year; richest record retained,high
engestrom1987,engestrom1987learning,Learning by Expanding,1987,merged by normalized title and year; richest record retained,high
gaver1991technology,gaver1991,Technology affordances,1991,merged by normalized title and year; richest record retained,high
gibson1979,gibson1979the,The Ecological Approach to Visual Perception,1979,merged by normalized title and year; richest record retained,high
gibson1979,gibson1979the2,The Ecological Approach to Visual Perception,1979,merged by normalized title and year; richest record retained,high
gruber1993a,gruber1993,A translation approach to portable ontology specifications,1993,merged by normalized title and year; richest record retained,high
harel1987statecharts,harel1987,Statecharts: A visual formalism for complex systems,1987,merged by normalized title and year; richest record retained,high
hoare1985,hoare1985communicating,Communicating Sequential Processes,1985,merged by normalized title and year; richest record retained,high
hutchins1995,hutchins1995cognition,Cognition in the Wild,1995,merged by normalized title and year; richest record retained,high
kaelbling1998planning,kaelbling1998,Planning and acting in partially observable stochastic domains,1998,merged by normalized title and year; richest record retained,high
kahneman1979,kahneman1979prospect,Prospect theory: An analysis of decision under risk,1979,merged by normalized title and year; richest record retained,high
larkin1987,larkin1987why,Why a diagram is (sometimes) worth ten thousand words,1987,merged by normalized title and year; richest record retained,high
norman1986,norman1986cognitive,Cognitive engineering,1986,merged by normalized title and year; richest record retained,high
norman1986,norman1986cognitive2,Cognitive engineering,1986,merged by normalized title and year; richest record retained,high
norman2013,norman2013the,The design of everyday things (Rev,2013,merged by normalized title and year; richest record retained,high
norman2013the3,norman2013the4,"The Design of Everyday Things, revised edition",2013,merged by normalized title and year; richest record retained,high
oulasvirta2022,oulasvirta2022computational2,Computational rationality as a theory of interaction,2022,merged by normalized title and year; richest record retained,high
oulasvirta2022,oulasvirta2022computational,Computational rationality as a theory of interaction,2022,merged by normalized title and year; richest record retained,high
park1981,park1981concurrency,Concurrency and automata on infinite sequences,1981,merged by normalized title and year; richest record retained,high
reeves2015,reeves2015humancomputer,Human-computer interaction as science,2015,merged by normalized title and year; richest record retained,high
shannon1948a,shannon1948,A mathematical theory of communication,1948,merged by normalized title and year; richest record retained,high
simon1955,simon1955a,A behavioral model of rational choice,1955,merged by normalized title and year; richest record retained,high
stevens1946,stevens1946on,On the theory of scales of measurement,1946,merged by normalized title and year; richest record retained,high
suchman1987,suchman1987plans,Plans and Situated Actions,1987,merged by normalized title and year; richest record retained,high
suchman1987,suchman1987plans2,Plans and Situated Actions,1987,merged by normalized title and year; richest record retained,high
suchman1987,suchman1987plans3,Plans and Situated Actions,1987,merged by normalized title and year; richest record retained,high
suchman1987,suchman1987plans4,Plans and Situated Actions,1987,merged by normalized title and year; richest record retained,high
sutton2018,sutton2018reinforcement,Reinforcement Learning: An Introduction (2nd ed.),2018,merged by normalized title and year; richest record retained,high
tinbergen1963on,tinbergen1963,On aims and methods of ethology,1963,merged by normalized title and year; richest record retained,high
vanglabbeek1990,vanglabbeek1990the,The linear time-branching time spectrum,1990,merged by normalized title and year; richest record retained,high
wc2023,wc2023web,Web Content Accessibility Guidelines (WCAG) 2.2,2023,merged by normalized title and year; richest record retained,high
wiener1948,wiener1948cybernetics,Cybernetics,1948,merged by normalized title and year; richest record retained,high
wiener1948cybernetics2,wiener1948cybernetics3,Cybernetics: Or control and communication in the animal and the machine,1948,merged by normalized title and year; richest record retained,high
wiener1948cybernetics2,wiener1948cybernetics4,Cybernetics: Or control and communication in the animal and the machine,1948,merged by normalized title and year; richest record retained,high
winograd1986,winograd1986understanding,Understanding computers and cognition,1986,merged by normalized title and year; richest record retained,high
winskel1987,winskel1987event,Event structures,1987,merged by normalized title and year; richest record retained,high
zhang1994,zhang1994representations,Representations in distributed cognitive tasks,1994,merged by normalized title and year; richest record retained,high
norman2013,norman2013the5,The design of everyday things (Rev | The Design of Everyday Things,2013,manual review; not merged,0.935
vanderaalst2016,vanderaalst2016process,Process Mining: Data Science in Action (2nd ed.) | Process Mining: Data Science in Action,2016,manual review; not merged,0.914
ware2012,ware2012information,Information visualization: Perception for design (3rd ed.) | Information Visualization: Perception for Design,2012,manual review; not merged,0.931
